id,name,category,discount,address,website,description,image_url,usage_count,is_active,created_at,updated_at
1,매장1 (Store1),마트,10% 할인 / 조건 예시 1번,,https://www.google.com/search?q=Store1+Guam,"Store1은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
2,매장2 (Store2),쇼핑,15% 할인 / 조건 예시 2번,,https://www.google.com/search?q=Store2+Guam,"Store2은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
3,매장3 (Store3),카페,20% 할인 / 조건 예시 3번,,https://www.google.com/search?q=Store3+Guam,"Store3은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
4,매장4 (Store4),마트,25% 할인 / 조건 예시 4번,,https://www.google.com/search?q=Store4+Guam,"Store4은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
5,매장5 (Store5),쇼핑,5% 할인 / 조건 예시 5번,,https://www.google.com/search?q=Store5+Guam,"Store5은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
6,매장6 (Store6),카페,10% 할인 / 조건 예시 6번,,https://www.google.com/search?q=Store6+Guam,"Store6은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
7,매장7 (Store7),마트,15% 할인 / 조건 예시 7번,,https://www.google.com/search?q=Store7+Guam,"Store7은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
8,매장8 (Store8),쇼핑,20% 할인 / 조건 예시 8번,,https://www.google.com/search?q=Store8+Guam,"Store8은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
9,매장9 (Store9),카페,25% 할인 / 조건 예시 9번,,https://www.google.com/search?q=Store9+Guam,"Store9은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
10,매장10 (Store10),마트,5% 할인 / 조건 예시 10번,,https://www.google.com/search?q=Store10+Guam,"Store10은(는) 괌에 위치한 제휴 매장으로 다양한 서비스와 혜택을 제공하며, 방문 고객에게 특별한 경험을 선사하는 곳입니다.",,0,True,2025-08-19,2025-08-19
